APPLICATION_ID,APPL_ID_LINK,PROJECT_TITLE,PROJECT_ABSTRACT,APPLICATION_TYPE,FULL_PROJECT_NUM,OPPORTUNITY NUMBER,IC_NAME,Topic_20,Topic_15,Topic_10,Topic_5
10747370,https:/reporter.nih.gov/search/G_jz1zQufEKgZSpE8sW6Tg/project-details/10747370#similar-Projects,Novel therapies that target mitochondrial dysfunction for treatment of a1-antitrypsin deficiency liver disease,"1-antitrypsin deficiency (1-antitrypsin deficiency) liver disease is one of the most common genetic causes of liver disease in children and adults. The only currently available treatment is liver transplantation. The pathobiology of the liver disease begins with a point mutation in α1-antitrypsin (α1-antitrypsin), one of the most abundant secretory glycoproteins of the liver. The variant, α1-antitrypsin Z (α1-antitrypsinZ), is prone to misfolding and that leads to its accumulation within the early part of the secretory pathway of liver cells. Most of the α1-antitrypsinZ accumulates in the endoplasmic reticulum (endoplasmic reticulum) as polymers and aggregates, and we now know that it is this accumulation of polymerogenic, aggregation-prone α1-antitrypsinZ that initiates the process of liver damage by a gain-of-toxic function mechanism. Very little is known about the pathobiological steps after accumulation of α1-antitrypsinZ that result in liver damage but it is assumed that liver cell function becomes impaired with stereotypical fibrogenic consequences. Marked alterations of mitochondria have been observed in liver cells of human 1-antitrypsin deficiency patients and the PiZ mouse model of 1-antitrypsin deficiency, leading to speculation that mitochondrial dysfunction is at least part of the final steps in the demise of liver cell function that characterizes severe 1-antitrypsin deficiency liver disease. Over the years we have learned that only a sub-group of homozygotes for α1-antitrypsinZ develop progressive liver disease and the majority completely escape clinical effects. This observation has led to the recognition that genetic and environmental modifiers play an important role in the pathobiological effects of α1-antitrypsinZ. Work led by the Perlmutter laboratory has shown that the intracellular degradation pathway known as autophagy is a key determinant of α1-antitrypsinZ accumulation in liver cells and that drugs which enhance the autophagic degradation of α1-antitrypsinZ decrease hepatic fibrosis in animal models, including the α1-antitrypsinZ nematode and PiZ mouse models. Other recent studies have shown specificity for the molecular pathways involved in autophagy of specific organelles, and the term `endoplasmic reticulum-phagy' has recently been recognized as at least part of the process by which α1-antitrypsinZ is specifically degraded. Furthermore, a very important new study has shown that at least one endoplasmic reticulum-phagy pathway is regulated by oxidative phosphorylation genes and mitochondrial function. Based on these considerations and new preliminary data described in the proposal, we now believe that mitochondrial impairment is a key part of the pathobiology of 1-antitrypsin deficiency liver disease in two ways, impaired liver cell energy metabolism and reduced autophagic response, and, therein, that mitochondrial function is a very appealing target for potential therapeutic interventions. In this grant we propose to investigate the effects of α1-antitrypsinZ accumulation on mitochondrial function to better understand the mechanism by which liver is damaged and to investigate whether mitochondrial function can be targeted for therapy. Our overarching goal with these studies is to provide a basis for clinical trials of human 1-antitrypsin deficiency liver disease that target mitochondrial dysfunction.",5,5R01DK131215-03,PA-20-185,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,12,2,0,0
10841715,https:/reporter.nih.gov/search/M-qP-3J4oka1OekU5H5OHg/project-details/10841715#similar-Projects,"Tricuspid Valve Maladaptation: Its Stimuli, its Effect on Valve Function, and its Response to Therapy","1.6 million Americans suffer from functional tricuspid valve regurgitation (functional tricuspid valve regurgitation); that is, tricuspid valve leakage due to valve-extrinsic factors such as pulmonary hypertension-induced right ventricular remodeling. Of those patients, only approximately 8-10 thousand are surgically treated. This undertreatment of patients with functional tricuspid valve regurgitation has been declared ""a public health crisis"". While the reasons for undertreatment are multi-fold, one is unarguably that available treatment options have suboptimal outcomes while being high-risk; thus, tilting the risk-benefit scale toward conservative treatment. For example, functional tricuspid valve regurgitation recurs in as many as 10-30% of patients treated via the gold-standard surgical technique tricuspid valve annuloplasty. Additionally, mortality rates of reoperation are exorbitantly high (>30%). Clearly, better therapeutic approaches are needed to treat functional tricuspid valve regurgitation and to stop undertreatment of a large patient population. Our collaborative team has recently shown in two separate sheep models that the tricuspid valve leaflets grow and fibrotically remodel in functional tricuspid valve regurgitation. The discovery of tricuspid valve (mal)adaptation now raises the possibility to both harness the valve's native ability to grow, and thereby counteract disease, and to therapeutically target leaflet fibrosis. However, before being able to use our new knowledge toward improving treatment of functional tricuspid valve regurgitation and toward overcoming today's massive undertreatment, tricuspid valve maladaptation must be better understood: To date, we don't know its stimuli, the mechanisms of its detrimental effects on valve function, or how therapy may be used to suppress fibrosis. The objective of this current proposal is to overcome these gaps in knowledge. To this end, we will test our central hypothesis that disease-induced leaflet strains stimulate leaflet maladaptation which, in turn, hinders valve coaptation and contributes to functional tricuspid valve regurgitation, and that leaflet maladaptation may be halted by counteracting disease-induced stimuli. We will pursue our objective in three aims: 1) Identify the stimuli of tricuspid valve maladaptation, 2) Delineate the mechanisms through which maladaptation impedes valve function, 3) Test whether prophylactic intervention halts maladaptation. To accomplish these aims, we will combine innovative, chronic sheep models with in-vitro flow loop valve characterization using high-speed 3D imaging, and extensive mechanical, compositional, and biological tissue phenotyping. Our team has a long collaborative track record of studying tricuspid valve function and disease, and is supported by a senior colleague with 30 years of experience in in-vitro valve experimentation. Upon conclusion of this work, we expect to have identified the stimuli for tricuspid valve maladaptation, understand the mechanisms through which it impedes valve function, and have shown that it can be halted through surgical intervention. Thus, we will have shed light on a recently identified disease mechanism of the tricuspid valve and suggested it as a novel therapeutic target. Our work will therefore pave the way toward a better understanding and better treatment of functional tricuspid valve regurgitation as a public health crisis. While our work is surgically-focused, it is equally important to transcatheter repair strategies which amplifies the significance of our work and its impact.",5,5R01HL165251-03,PA-20-185,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",8,2,0,0
10889985,https:/reporter.nih.gov/search/jcGj_OUn5ECleQFq5PemmQ/project-details/10889985#similar-Projects,Airway trees in the Anthropocene: Defining resilient airway trees and identifying the candidate mechanisms and etiologic factors that increase susceptibility to tobacco smoke and air pollution,"11 million lives and 350 million disability-adjusted life-years were lost to tobacco smoke and other noxious pollutants in 2017 (significant increases from 2007). The airway tree is the first line of defense against these ubiquitous noxious agents and, according to textbooks, has a fairly standard anatomy. During the first funding period, we confirmed our primary hypothesis and found that approximately 25% of the general population have airway branch variants that modify susceptibility to cigarette smoke (published in PNAS). Further epidemiologic investigation of airway tree structure on computed tomography (computed tomography) in multiple cohorts demonstrated that variation in native airway tree caliber (""dysanapsis"") is common and predicts incident chronic obstructive pulmonary disease (chronic obstructive pulmonary disease) better than smoking (published in JAMA) and extends to the terminal bronchioles. These new findings suggest that native airway tree caliber is fundamental to chronic obstructive pulmonary disease risk and may modify susceptibility to inhale particulates including cigarette smoke. This renewal therefore proposes to 1) establish the early-life origins of airway tree caliber to identify possible modifiable factors, 2) investigate the pathophysiology of increased susceptibility to inhaled noxious agents in adults, and 3) define resilient vs susceptible airway tree structure using clinical outcomes We will use new and existing data, and proven expertise in cohort epidemiology, lung imaging, tobacco and air pollution assessment and gene expression to address the following aims: Aim 1 Using radiation-free innovative MR lung imaging, we will establish the early-life origin of airway tree caliber variation that is physiologically relevant among adolescents (n=100) in a well-characterized mulit-ethnic birth cohort. 1a Explore if smaller airway tree caliber is associated with prospectively ascertained and modifiable early-life factors. Aim 2 Investigate two candidate pathophysiologic mechanisms linking airway tree caliber to increased susceptibility to tobacco smoke and other noxious pollutants: 2a: Mechanism 1 (higher dose delivered): Determine if smaller airway tree caliber is associated with i) higher baseline and prospective accumulation of lung macrophage black carbon content (n=554), and ii) higher systemic biomarker levels of tobacco smoke exposure and inflammation (n=6,570). 2b: Mechanism 2 (impaired airway homeostasis): Determine if smaller airway tree caliber is associated with attenuated basal progenitor cell expression signature among never smokers (n=40) and an 'exhausted' basal cell gene expression response to smoking with higher expression of airway inflammation (n=207). Aim 3 Identify the threshold of airway tree caliber that defines resilient versus susceptible airway tree caliber using existing cardiac and full-lung computed tomography measures and clinical outcomes with up to 21 years of follow-up (n=9,664). 3a: Test whether airway tree caliber modifies the risk of death associated with tobacco smoking. The proposed R01 renewal builds upon high-impact prior work and seeks to understand and ultimately target resilient airway tree development and maintenance across the lifespan and improve population health in the 21st century.",5,5R01HL130506-08,PA-20-185,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",3,4,0,3
10917292,https:/reporter.nih.gov/search/ZhwnL93340Oez6IoLAJA5Q/project-details/10917292#similar-Projects,APOL1 Long-term Kidney Transplantation Outcomes Network (APOL1 Long-term Kidney Transplantation Outcomes Network) Clinical Center,"12/14 APOL1 Long-term Kidney Transplantation Outcomes Network (APOL1 Long-term Kidney Transplantation Outcomes Network) Clinical Center We submit this application in response to RFA-DK-22-506. UCSF is a current member of the APOL1 Long-term Kidney Transplantation Outcomes Network Consortium. This Consortium was established in 2017 to work seamlessly with the Association of Organ Procurement Organizations (Association of Organ Procurement Organizations) to enroll participants in the largest observational study to date of kidney transplant recipients and donors to evaluate APOL1 gene mutations as a risk factor for graft loss. Our Clinical Center has been a leader on the West Coast, collaborating with our sites at University of California Los Angeles, University of California Davis (University of California Davis), California Pacific Medical Center (California Pacific Medical Center), Stanford University, and University of Southern California. In Phase 1 or APOL1 Long-term Kidney Transplantation Outcomes Network, we have successfully enrolled a total of 223 participants across these centers, with DNA specimens in hand for 221/223. Our site has overseen the careful collection of clinical data from the electronic medical record at our own site and those of our engaged centers to complete the APOL1 Long-term Kidney Transplantation Outcomes Network Consortium Data forms accurately and completely. In Phase 2, we will continue to obtain critical follow-up data on all participants and ensure completion of data abstraction from electronic medical record continues at our engaged sites, to provide patient-level detail not available in databases maintained by United Network for Organ Sharing (United Network for Organ Sharing) and the Scientific Registry of Transplant Recipients (Scientific Registry of Transplant Recipients). We will ensure a urine albumin-to-creatinine ratio is measured in all participants, at all sites, at a longitudinal follow-up time point at least two years after transplantation in APOL1 Long-term Kidney Transplantation Outcomes Network Phase 1. We will collect additional biospecimens for contribution to the biorespository as well as unstained biopsy slides as we have been doing through Phase 1. We will work with the Scientific Data and Coordinating Center to ensure return of genotype results to all study participants who desire this information. We will also continue to recruit living donors at our site. Continuation of the APOL1 Long-term Kidney Transplantation Outcomes Network Consortium will lead to important advances in our understanding of APOL1 high-risk status and its influence on graft function as well as the biology of APOL1 gene effects.",5,5U01DK116043-07,RFA-DK-22-506,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,19,4,0,3
10802978,https:/reporter.nih.gov/search/M5K4ppQVbU-XHn_iycLdRQ/project-details/10802978#similar-Projects,Multimodal Learning for Contextually-Aware Longitudinal PET/CT image analysis,"18F-Fluorodeoxyglucose (18F-Fluorodeoxyglucose) PET/CT imaging has become an essential tool for guiding and adapting treatments for lymphoma. However, the PET evaluation criteria currently used for assessing lymphoma, which consists of subjective visual scoring on a 5-point scale, is suboptimal. The visual scores suffer from high interobserver variability and have low prognostic power for new emerging biological therapies. Quantitative PET metrics have been shown to be more predictive of clinical outcomes than visual scores, but quantitative analysis of whole-body PET/CT images is prohibitively time-consuming and impractical in routine clinical care. Deep learning (Deep learning) has shown promise in automating the quantitative analysis of baseline 18F-Fluorodeoxyglucose PET/CT images, but comprehensive evaluation of interim-therapy and post-therapy images using Deep learning has proven difficult. Residual lymphoma has low-level uptake, which can be hard to differentiate from physiologic or treatment-related uptake, and reading physicians must use clinical histories and baseline PET images (i.e., sites of initial disease) to make reliable diagnoses. Deep learning algorithms, on the other hand, only operate on cross-sectional images and are unable to account for historical context. Our objective is to develop Deep learning algorithms that operate on PET/CT images from more than one time point so that algorithms can learn longitudinal dependencies for contextually-aware predictions. We also aim to develop multimodal vision-language models that can simultaneously interpret radiology text reports while performing PET/CT image analysis. These models can leverage critical information about patient history and physician interpretation when processing retrospective images. Furthermore, we will use semi-supervised learning to leverage both unlabeled datasets and labeled datasets. Our overall goal is to develop contextually-aware algorithms for automated longitudinal analysis of whole-body PET/CT images in lymphoma. These tools will be developed using diverse datasets from multiple institutions. PET metrics measured by Deep learning will be validated as predictive markers of outcome using data from a Phase 3 clinical trial.",1,1R01EB033782-01A1,PA-20-185,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,17,8,7,0
10885150,https:/reporter.nih.gov/search/wDcvyyCoKUG61eXMTbPjHg/project-details/10885150#similar-Projects,Nanodisc Platform for 19F-MRI,"19F MRI, has shown promising success in clinical trials for monitoring cell therapy, where small groups of cells, showing poor contrast in 1H-MRI (Magnetic Resonance Imaging), are easily tracked using 19F-MRI.1 Contrast is provided by nanoemulsions of perfluorocarbon (perfluorocarbon) oils pre-loaded into cells. A major advantage of 19F-MRI is that lack of natural fluorine in the body allows for very high contrast-to-noise for 19F-MRI compared to 1H-MRI.2 Use of 19F-MRI in molecular imaging, by targeting specific biomarkers, is of great interest, but the development of probes for these applications has been an elusive goal. Typical synthetic methods produce relatively large particles, > 150 nm, which induce nonspecific uptake by phagocytic cells. While avid nonspecific uptake is advantageous for labeling T cells and other immune cells ex vivo, it is a decided limitation for imaging of biomarkers as it can create high background signal in the inflamed tissues characteristic in many diseases. 19F MRI should be an excellent platform for biomarker detection but there is a critical unmet need for suitable 19F MRI contrast agents that avoid nonspecific immune cell surveillance. Ideally, contrast agents need to be<100 nm to avoid nonspecific uptake. We propose exploratory studies to develop innovative new 19F MRI contrast agents based on nanodiscs. Nanodiscs are < 50 nm in size, avoid liver clearance, and escape immune surveillance. We hypothesize that nanodiscs, which are structurally similar to high density lipoproteins that carry cholesterol in a hydrophobic core, may be ideal for carrying hydrophobic perfluorocarbons. Our aims are to explore synthetic parameters in benchtop (Aim 1) and microfluidic (Aim 2) approaches to optimize loading of perfluorocarbons into nanodiscs. In each aim we will systematically investigate variables that influence nanodisc size and perfluorocarbon loading. New nanodiscs will be characterized for physical properties such composition and dimensions, and the top 3 products from each Aim will be evaluated for lack of toxicity and biodistribution in a mouse model. The leading nanodiscs will be modified for targeting CD204, a biomarker for tumor associated macrophages, and tested in a mouse breast cancer model. We are team composed of contrast agent (UCD) and nanodisc (LLNL) experts who are ideally positioned and well-equipped to carry out the proposed aims. The success of this project would add novel nanodiscs materials with the potential not only for targeted 19F MR molecular imaging, but for applications in photoacoustic, and radiotherapy, and tracking drug delivery.",5,5R21EB033689-02,PA-20-195,NATIONAL INSTITUTE OF BIOMEDICAL IMAGING AND BIOENGINEERING,5,0,2,0
10831043,https:/reporter.nih.gov/search/CTdJZ4v8oEGIVEMZp_NoTg/project-details/10831043#similar-Projects,Evaluation of a novel NLK function in lysosome biogenesis and neurodegenerative diseases,"1R01AG074609-01 Janghoo Lim In the majority of neurodegenerative diseases, including Alzheimer's disease (Alzheimer's disease), one or more proteins aggregate over the course of disease progression. In the case of amyotrophic lateral sclerosis (amyotrophic lateral sclerosis) and frontotemporal dementia (frontotemporal dementia), Alzheimer's disease, and other Alzheimer's disease-related dementias (Alzheimer's diseaseRDs), cytoplasmic inclusions of transactive response DNA binding protein 43 kDa (transactive response DNA binding protein 43 kDa) are observed in a large percentage of patients with sporadic and familial forms of disease. This aberrant accumulation of cytoplasmic transactive response DNA binding protein 43 kDa is thought to underlie gain of toxic functions and exacerbate loss of nuclear function pathogenic mechanisms; therefore, preventing the formation or promoting the clearance of these inclusions may be an effective therapeutic approach for transactive response DNA binding protein 43 kDa proteinopathies, such as Alzheimer's disease and Alzheimer's diseaseRDs. Currently, there are no therapeutics that effectively alter the course of most neurodegenerative diseases associated with transactive response DNA binding protein 43 kDa proteinopathy. We have recently identified Nemo-like kinase (Nemo-like kinase) as a negative regulator of the lysosome, a key organelle involved in cellular protein quality control that is capable of clearing toxic aggregated proteins. This proposal aims to better understand the basic molecular mechanism of Nemo-like kinase's regulation of lysosome gene expression in the nervous system and to test the modulatory effects of Nemo-like kinase in Alzheimer's diseaseRD animal models of transactive response DNA binding protein 43 kDa aggregation. We propose the following three specific aims. Aim 1 will employ unbiased and targeted approaches to uncover fundamental mechanistic insights into the regulation of lysosome gene expression by Nemo-like kinase in neurons. Aim 2 will determine which cell types mediate the function of Nemo-like kinase in the regulation of the lysosome and transactive response DNA binding protein 43 kDa proteinopathy in the nervous system in vivo using wild-type and transactive response DNA binding protein 43 kDa animal models. Aim 3 will expand the scope of the proposed study to understand the therapeutic implications of Nemo-like kinase reduction in animal models of transactive response DNA binding protein 43 kDa aggregation through genetic and pharmacological reduction of Nemo-like kinase levels at varying times in adulthood in vivo. In doing so, we will test the effect of Nemo-like kinase reduction in the control of the onset and progression of pathological and motor behavioral changes in transactive response DNA binding protein 43 kDa mouse models of Alzheimer's diseaseRD. Aims 2 and 3 will provide critical proof-of-principle evidence regarding the effectiveness of lysosomal modulation in pre-clinical models of protein aggregation disorders. Together, this project will reveal novel molecules involved in lysosomal regulation in neurons that may be potential targets in the treatment of various neurodegenerative diseases, including Alzheimer's disease and several Alzheimer's disease-related disorders.",5,5R01AG074609-04,PA-20-185,NATIONAL INSTITUTE ON AGING,2,6,6,1
10799868,https:/reporter.nih.gov/search/zX0BClN6zkaUQgdT0mdwbw/project-details/10799868#similar-Projects,Partnering with Pregnant and Postpartum People to Co-Create a Novel Intervention to Reduce Tobacco and Cannabis Use,"1R01DA057946-01A1 Prenatal tobacco use among non-Hispanic Black people and sexual minorities is a pressing public health problem, placing these individuals and their infants at greater risk of poor health outcomes relative to other populations. Co-use of tobacco and cannabis during pregnancy is also more common in minoritized groups and may hinder prenatal smoking cessation and postpartum tobacco abstinence. Depressive symptoms represent a modifiable factor related to discrimination, prenatal tobacco, and prenatal cannabis use that can be addressed to promote perinatal cessation and prevent relapse. To achieve true health equity, effective perinatal tobacco and cannabis use cessation interventions created in partnership with vulnerable communities are necessary. Accordingly, the proposed project is designed to achieve the following aims:  Guided by a community collaborative, we propose to conduct formative research on the experiences of marginalized pregnant people who use cannabis and tobacco, to contextualize the role of depressive symptoms in prenatal dual use. We will co-create an interview guide; conduct interviews with 35 pregnant and parenting people who engage(d) in dual use and experienced prenatal depressive symptoms to determine the relationship among symptoms and tobacco and cannabis use, quit attempts, withdrawal, and relapse. We will code and evaluate themes from these interviews with the collaborative.  Guided by a community collaborative and using an intervention mapping approach, develop an intervention targeting prenatal depressive symptoms for prenatal tobacco and cannabis smoking cessation.  Guided by a community collaborative, conduct a single group, proof of concept feasibility trial of a new intervention designed to address prenatal depressive symptoms to encourage tobacco and cannabis cessation. Together, we will assess needs, choose behavioral targets and review the feasibility and acceptability of the novel intervention to prepare for future evaluation of efficacy. Although there are interventions addressing perinatal depressive symptoms, extant interventions may not be appropriate or effective for pregnant people from minoritized groups who use both cannabis and tobacco. Successful intervention development needs to include members of communities disproportionately affected by discrimination as a core part of the scientific process to better address prenatal smoking cessation. Thus, the project will provide data critical for a novel intervention to reduce prenatal co-use of tobacco and cannabis. The proposed study amplifies the voices of pregnant people from communities with higher rates of prenatal depressive symptoms and dual prenatal tobacco and cannabis use who have been under-represented in tobacco treatment research.",1,1R01DA057946-01A1,PA-20-183,NATIONAL INSTITUTE ON DRUG ABUSE,6,5,8,2
10991186,https:/reporter.nih.gov/search/yO7EpeVLzkiXC3Q9LSsF8Q/project-details/10991186#similar-Projects,Genetic variants guiding pathogenicity of colitogenic T cells,"2.4 million people in the United States have inflammatory bowel diseases (inflammatory bowel diseases). While these severe and debilitating diseases have a genetic component, as determined from concordance studies in monozygotic twins, we still know very little about how genetics drives risk and progression for each disease. Genome-wide association studies have identified hundreds of IBD-associated regions of the genome, but there is often tight linkage disequilibrium between causal and non-causal variants in these regions, and most disease-associated genetic variants are in non-coding regions. Thus, determining the variants that promote disease and their effects on disease-relevant cell types is challenging. One cell type that is implicated in IBD is the pathogenic Th17 cell. Th17 cells normally maintain homeostasis of the colonic lamina propria, but in the context of IBD, pathogenic Th17 cells cause unwanted inflammation. Non-coding genetic variants associated with IBD are highly enriched within the accessible chromatin of pathogenic Th17 cells compared to other T cell types. Thus, we hypothesize that disease-causal variants alter cis-regulatory element (cis-regulatory element) activity in pathogenic Th17 cells that may affect their differentiation and function, making them more pathogenic. We recently discovered that we can identify likely causal variants through testing their allele-specific effects on regulatory region activity in massively parallel reporter assays (massively parallel reporter assays). Our massively parallel reporter assays in T and B cell lines and primary T cells identify putative causal variants that are highly cell type and state dependent. Thus, we will perform massively parallel reporter assays on IBD GWAS variants, identified in East Asian and European individuals, using human pathogenic Th17 cells to discover putatively causal IBD variants across the genome. We will then connect variants to their effects on pathogenic Th17 cell migration and function using CRISPR-interference (CRISPR-interference) screens in primary T cells. Next, we will use a single-cell screening approach in pathogenic Th17 cells to identify the genes that variant cis-regulatory elements control. We will then determine gene regulatory networks that variant cis-regulatory elements act on to begin to define important disease pathways. In concert with our studies in human T cells, we will use in vivo CRISPR-interference screens to test conserved variant cis-regulatory element effects on migration and function of pathogenic Th17 cells in a murine model of IBD, thus exploring additional physiological avenues of variant effects in the in vivo setting. If successful, this work will take the first leap in directly linking hundreds of IBD risk loci to the function of a disease-relevant cell type and it will provide insight into how genetic risk promotes disease. Our findings may therefore identify therapeutically targetable pathways for treatment of IBD.",1,1R01DK140972-01,RFA-DK-22-023,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,3,4,1,3
10890040,https:/reporter.nih.gov/search/lHkRI7mGb0ezec9jgczTSw/project-details/10890040#similar-Projects,Phosphodiesterase 4 mediated pathogenic mechanisms in alcohol associated liver disease,"2.5% of United States population is affected by alcohol-associated liver disease (alcohol-associated liver disease), which represents the eighth most common cause of mortality. Despite significant progress in the field, the complex mechanisms driving the onset and progression of alcohol-associated liver disease are still not fully understood. cAMP is a second messenger that plays a critical role in regulating multiple cellular functions via its effectors (e.g. protein kinase A). Amplitude and duration of cAMP signaling is fine-tuned by phosphodiesterases (phosphodiesterases) via cAMP hydrolysis and degradation. Our work has shown that ethanol increases expression of hepatic PDE4 in experimental alcohol-associated liver disease as well as in alcohol-associated hepatitis (alcohol-associated hepatitis) patients' livers. However, their role in alcohol-associated liver disease pathogenesis is not clear. We started elucidating the role of PDE4s in alcohol-associated liver disease by demonstrating that Pde4b plays a critical role in ethanolmediated impairment of fatty acid β-oxidation and steatosis. We also showed that inhibition of PDE4 activity attenuates liver injury in in vivo and in vitro models of alcohol-associated liver disease. However, underlying mechanisms of ethanol mediated induction of PDE4 enzymes have not been determined. Moreover, how PDE4 inhibition exerts its beneficial effect on dysregulated lipid metabolism and hepatocytes survival is not fully understood. Our preliminary studies using animal and cell models of alcohol-associated liver disease identified novel pathways of ethanol and PDE4mediated regulation of hepatic lipid metabolism and cell injury which have never been examined before. Based on our previous work and preliminary data, our central hypothesis is that ethanol via cytochrome p450 (CYP2E1) mediated increase in hypoxia inducible factor 1 (HIF1α) induces hepatic PDE4 which contributes to dysregulation of hepatic lipid metabolism and injury. The specific objectives of these mechanistic studies are to: Aim 1: Determine the underlying mechanisms of PDE4 upregulation by ethanol in hepatocytes. Aim 2: Determine mechanisms underlying ethanol/PDE4-mediated de novo lipogenesis and hepatic steatosis. Aim 3: Determine the role of MKP1 in ethanol/PDE4-mediated toxicity in hepatocytes. The ultimate goal of this application is to identify not only the mechanisms of PDE4 upregulation, but also the role of PDE4s in the development of alcohol-associated liver disease. Importantly, we predict that these preclinical studies will provide strong rationale using PDE4 specific inhibitors in the treatment of alcohol-associated liver disease. Importantly, there are potent PDE4 inhibitors that are already FDA-approved for the treatment of other inflammatory disease processes, and these inhibitors could potentially be repurposed for alcohol-associated liver disease.",5,5R01AA029798-04,PA-20-185,NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM,12,2,0,0
